id,summary
tifu-test-00001,"i tried to get a girl, ended up my mom's house."
tifu-test-00002,"tried to get a girl, got caught up with my face."
tifu-test-00003,"i tried to get a girl and got caught my girlfriend, but i was going out of the house."
tifu-test-00004,"i tried to use a new car, and got stuck up my house."
tifu-test-00005,"tried to get a girl, got caught up with the bathroom."
tifu-test-00006,i went to get a party and got caught my mom's house.
tifu-test-00007,"i tried to get a new door, ended up my house."
tifu-test-00008,"i told my friend was a guy, he didn't tell me to get him."
tifu-test-00009,"i got a new job of my car, now i'm busy to get the same day."
tifu-test-00010,"i went to get a little girl, got caught it was going out of the school."
tifu-test-00011,"tried to get a girl, got caught up with my girlfriend."
tifu-test-00012,i tried to get a new computer of my school.
tifu-test-00013,"i was a wrong of my friend's school,"
tifu-test-00014,"i tried to get a doctor, got stuck up with the hospital."
tifu-test-00015,"i was a joke of my friend,"
tifu-test-00016,"i tried to get a toilet, ended up my bathroom and got shit."
tifu-test-00017,"i tried to get a shower, ended up my mom's house."
tifu-test-00018,i tried to get a guy with my friend.
tifu-test-00019,"i went to get a girl, got caught up in the bathroom."
tifu-test-00020,"i tried to get a girl, got drunk with my girlfriend."
tifu-test-00021,"i tried to get a new car, got stuck up the road."
tifu-test-00022,"i tried to make my house, got a fire and ended up the door."
tifu-test-00023,"i tried to get a bar of my boss, got stuck up out."
tifu-test-00024,"i tried to get a kid, but i didn't go out of the school."
tifu-test-00025,i tried to get a penis.
tifu-test-00026,"i tried to get a toilet, got caught my bathroom and ended up the shower."
tifu-test-00027,"i went to get a few day, got caught up my house."
tifu-test-00028,"i tried to get a new car, got stuck up the first time of my house."
tifu-test-00029,"i was a girl, i didn't know it's mom."
tifu-test-00030,"i was a wrong of my phone, got stuck up the train."
tifu-test-00031,"i tried to get a girl, got caught my girlfriend."
tifu-test-00032,i tried to get a shower and ended up my face.
tifu-test-00033,"i tried to get a new job, got stuck up my phone."
tifu-test-00034,"i tried to get a guy, got caught the police of my house."
tifu-test-00035,"i tried to get a new car, got stuck up my car."
tifu-test-00036,"i tried to get a car, got caught out of the road."
tifu-test-00037,"i went to get a girl, got caught up with my friend."
tifu-test-00038,"i was going to get a new car, but i didn't know it."
tifu-test-00039,"tried to get a girl, ended up my penis."
tifu-test-00040,"i tried to get a girl, i didn't know my mom's school."
tifu-test-00041,"i tried to get a kid, got caught my friend and ended up the school."
tifu-test-00042,"i tried to get a guy, i was stuck up my nose."
tifu-test-00043,"i tried to get a little dog, got stuck up my car."
tifu-test-00044,"i tried to get a new computer, got stuck up my phone."
tifu-test-00045,"i got a job of my boss, and i didn't get the work."
tifu-test-00046,"tried to get a girl, ended up my sister's house."
tifu-test-00047,tried to get a game of the movie.
tifu-test-00048,i tried to play a movie of the theater and ended up out.
tifu-test-00049,i tried to get a new phone of my wallet.
tifu-test-00050,i tried to get a picture of my friend's house.
tifu-test-00051,"i was a cat of my dog, i didn't be the house."
tifu-test-00052,i got a job for my boss.
tifu-test-00053,"tried to get a school, got caught up with my friend."
tifu-test-00054,"i tried to get a girl, got drunk with my girlfriend."
tifu-test-00055,tried to get a shower.
tifu-test-00056,"i tried to get a room, ended up my house."
tifu-test-00057,i was a joke of my boss and i didn't be an job.
tifu-test-00058,"i tried to get a girl, i didn't eat up my mom."
tifu-test-00059,i tried to get a girl.
tifu-test-00060,"tried to get a girl, ended up my penis."
tifu-test-00061,"i went to get a girl, got caught my friend and ended up the first day."
tifu-test-00062,"tried to get a girl, got married with my girlfriend."
tifu-test-00063,"i tried to get a girl, got caught my mom's house."
tifu-test-00064,"tried to get a bar, got caught up with the restaurant."
tifu-test-00065,"i was a pissed my bathroom, got caught up in the toilet."
tifu-test-00066,"went to get a girl, got caught my car in the road."
tifu-test-00067,"i didn't read my teacher, ended up the school."
tifu-test-00068,"i went to get a car, got caught the road and ended up my foot."
tifu-test-00069,"i tried to get a new phone, but i was stuck up my mom's house."
tifu-test-00070,"tried to get a girl, ended up my room in the bathroom."
tifu-test-00071,"i tried to eat my nose,"
tifu-test-00072,"i tried to get a girl, got caught my house."
tifu-test-00073,"i tried to play a game, got stuck up my friend."
tifu-test-00074,i tried to get a guy in the bar of my car.
tifu-test-00075,"i tried to get a bike, got stuck up my car."
tifu-test-00076,"i tried to get a girl, got caught my mom's house."
tifu-test-00077,"i tried to get a bottle of my nose, ended up with the bathroom."
tifu-test-00078,"i tried to get a girl, got caught out of my friend and ended up with the door."
tifu-test-00079,"i tried to get a new school, got caught it was an teacher."
tifu-test-00080,"tried to get a girl, she didn't know it's mom."
tifu-test-00081,"i was a guy of my boss,"
tifu-test-00082,"i tried to get a few day, ended up the hospital."
tifu-test-00083,"i tried to get a girl, but i'm married up my girlfriend."
tifu-test-00084,"tried to get a shower, got caught my foot and ended up the bathroom."
tifu-test-00085,"i tried to get a shower, got my head of the floor."
tifu-test-00086,i went to get a girl and got my mom's house.
tifu-test-00087,"tried to get a water, got stuck up with the floor."
tifu-test-00088,"i got a lot of my house, ended up in the room."
tifu-test-00089,"i went to get drunk, got a bathroom and ended up the toilet."
tifu-test-00090,"i tried to get a school, got drunk and ended up my friend."
tifu-test-00091,"i was going to get a girl, she didn't go out of my girlfriend."
tifu-test-00092,"i tried to get a shower and got my face,"
tifu-test-00093,"i tried to get a car, got stuck up my house."
